Date,Close,High,Low,Open,Volume
2010-11-29,90.9481201171875,91.19235786297394,89.86430966111598,90.44437649101646,223642300
2010-11-30,90.43675231933594,90.9557583138078,89.91774632486407,90.0475021907979,233930700
2010-12-01,92.36011505126953,92.53565782857561,91.73425549570395,91.74188373952639,221037200
2010-12-02,93.54314422607422,93.61183918577059,92.45170552294896,92.50513234800736,191213600
2010-12-03,93.79499816894531,93.9018517987032,93.19966913941248,93.22256551391973,151288900
2010-12-06,93.6957778930664,93.90948515095825,93.4973329437014,93.59655250684088,103050500
2010-12-07,93.74923706054688,94.64986497467488,93.69581022763623,94.59643814176424,206581000
2010-12-08,94.09268951416016,94.16901272530986,93.42867117176134,93.86371988071109,138019200
2010-12-09,94.45902252197266,94.6574616505513,93.99344349484731,94.619302967249,123705100
2010-12-10,95.00859832763672,95.10018386413012,94.43616543219883,94.74909238703218,117571700
2010-12-13,95.06964111328125,95.55811665502148,95.03911066403651,95.44363474921344,133812700
2010-12-14,95.153564453125,95.58098476700931,94.86353402338105,95.214625329835,147249600
2010-12-15,94.71855163574219,95.35204536869263,94.55827114121641,94.97805754813245,160823100
2010-12-16,95.26806640625,95.3367613586063,94.45139598299724,94.779590965599,185035200
2010-12-17,95.3701400756836,95.49289827099284,95.00185378233174,95.20134243513533,141075300
2010-12-20,95.60027313232422,95.83045269925682,95.12457727943749,95.63096413149587,119085500
2010-12-21,96.20643615722656,96.26781817404839,95.80746475530732,95.89953192682874,94965500
2010-12-22,96.50564575195312,96.53633675386996,96.22176422821498,96.27547201814193,78878100
2010-12-23,96.36758422851562,96.50569087486053,96.12973616958773,96.39827524478258,70053700
2010-12-27,96.4059066772461,96.49797383147467,95.93787913088347,96.0069294965549,58126000
2010-12-28,96.54402160644531,96.6360887686311,96.29082520301296,96.5977294022906,55309100
2010-12-29,96.61304473876953,96.82787586158067,96.5977021673012,96.65908416059268,58033100
2010-12-30,96.45964050292969,96.77421312096422,96.31385966444121,96.52102252478923,76616900
2010-12-31,96.48265075683594,96.57472378338333,96.16040394448714,96.3138531350214,91218900
2011-01-03,97.48005676269531,97.9020448280506,96.44425457111979,97.21918619807992,138725200
2011-01-04,97.42637634277344,97.72560634989932,96.82024211318964,97.69491534228241,137409700
2011-01-05,97.93277740478516,97.9941594288381,97.02741303799614,97.11948607407557,133975300
2011-01-06,97.7409439086914,98.0785391214336,97.44938813186643,97.97112352714487,122519000
2011-01-07,97.54914855957031,98.03251882825693,96.78956503628791,97.87139540536138,156034600
2011-01-10,97.42637634277344,97.56448295019393,96.8279104748105,97.11947212031552,122401700
2011-01-11,97.77165222167969,98.00950024346272,97.40336593770449,97.77932643797614,110287000
2011-01-12,98.65398406982422,98.76139966602486,97.79465344650814,98.37010250288436,107929200
2011-01-13,98.49288940429688,98.73841754320559,98.24737297281422,98.69238394401671,129048400
2011-01-14,99.20643615722656,99.22945295469654,98.28572913615247,98.35477952856242,117677900
2011-01-18,99.37518310546875,99.46725024837268,98.9992227595794,99.11430668820931,114401300
2011-01-19,98.40079498291016,99.39055221392837,98.13993018805857,99.29081667908676,151958400
2011-01-20,98.27034759521484,98.51586392132299,97.54144941652376,98.17827458264141,175745700
2011-01-21,98.49288940429688,99.10669804414259,98.38547377038083,98.88419841225436,151462900
2011-01-24,99.0529556274414,99.16803957841303,98.40845037973651,98.43146716993084,113715500
2011-01-25,99.10664367675781,99.1910424647804,98.29335265076908,98.7920653116355,167552200
2011-01-26,99.49030303955078,99.78186470748777,99.15270778350231,99.35220227521634,141281500
2011-01-27,99.73582458496094,99.90462220192603,99.33684733509598,99.51331331376949,123302700
2011-01-28,97.99414825439453,100.01203962561958,97.83302484991272,99.85091036742644,295637300
2011-01-31,98.730712890625,98.80744334178681,98.01716886599728,98.26269694377658,149249200
2011-02-01,100.31126403808594,100.4877300101178,99.26779322131236,99.32917523493693,167194300
2011-02-02,100.11946105957031,100.38799422896805,99.99669701831363,100.05039896922383,118323600
2011-02-03,100.34193420410156,100.49538336153277,99.41355919181952,99.94295702884418,145886700
2011-02-04,100.62582397460938,100.66418919396537,99.91994842665989,100.38030764408927,134634800
2011-02-07,101.25501251220703,101.5849277456969,100.8406867452373,100.84836681596724,112439100
2011-02-08,101.71534729003906,101.76904923504473,101.07084199801645,101.34705520676269,99072800
2011-02-09,101.48517608642578,101.76138931809312,100.97878321046517,101.43914249905174,146436700
2011-02-10,101.52352142333984,101.63860536923012,100.74091546902373,100.97109506822503,162708500
2011-02-11,102.12966918945312,102.26010158880395,101.10154671874218,101.12456351230863,137710300
2011-02-14,102.37516784667969,102.45956664429742,101.953185566012,102.06826951393573,101690700
2011-02-15,102.05291748046875,102.21404670929171,101.52351963129739,102.0605975483397,119575400
2011-02-16,102.69743347167969,102.8201857888781,102.19104065068778,102.39820347880662,130183500
2011-02-17,103.00432586669922,103.14242660584105,102.30611868791483,102.39819755476381,109810500
2011-02-18,103.21915435791016,103.34191837223378,102.8585423829725,103.09639034358653,130002400
2011-02-22,101.14757537841797,103.24218544288487,100.87136216165358,102.1373325758273,233116400
2011-02-23,100.5261001586914,101.3317230292909,99.90462333799033,101.08619496275969,227584000
2011-02-24,100.45704650878906,100.8483554342558,99.51332280208285,100.41869298916755,260431400
2011-02-25,101.53115844726562,101.59254043526903,100.81760308071598,100.8789850687194,141686900
2011-02-28,102.16035461425781,102.29079872137532,101.56957463459851,101.90716988435983,141585500
2011-03-01,100.45704650878906,102.57468528447188,100.42636135160714,102.48261810550257,258565500
2011-03-02,100.67188262939453,101.13991026987084,100.0120405740906,100.31893895484569,200277400
2011-03-03,102.40584564208984,102.52092956859131,101.57720624902295,101.5848746083168,176480100
2011-03-04,101.63861083984375,102.52863242736905,100.97110050291047,102.32913796719396,277202300
2011-03-07,100.84069061279297,102.16805508324077,100.31129254624408,101.9378753935878,216790400
2011-03-08,101.72301483154297,102.04526162124574,100.56446006089097,101.00179080855116,174615000
2011-03-09,101.57721710205078,101.89179547799098,100.97108884534993,101.52351516641856,153806000
2011-03-10,99.69743347167969,100.64882520305109,99.59768625826065,100.51072448362727,301291800
2011-03-11,100.38800048828125,100.74861256481778,99.35220955758142,99.37522635332425,225621800
2011-03-14,99.78184509277344,100.11176021433445,99.02225591598136,99.73581151371106,234974100
2011-03-15,98.6386489868164,99.22944069957299,97.05809998281369,97.1271503666957,359585400
2011-03-16,96.81256866455078,98.64631979848834,96.1220356219797,98.32406128910316,468670300
2011-03-17,98.0938720703125,98.50819183063939,97.51842893436576,98.2089618682439,254303700
