underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2025-10-22,SPY,2025-10-22,500.000,C,167.9300,167.9300,167.8500,167.8500,2,1,167.5100,13,169.0400,667.6600,667.6700,10,166.2400,10,169.7600,667.8100,667.8200,167.8900,4,
SPY,2025-10-22,SPY,2025-10-22,500.000,P,0.0100,0.0100,0.0100,0.0100,3,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0100,572,
SPY,2025-10-22,SPY,2025-10-22,505.000,C,0.0000,0.0000,0.0000,0.0000,0,8,161.8200,16,164.0400,667.6600,667.6700,10,161.2400,10,164.7600,667.8100,667.8200,0.0000,0,
SPY,2025-10-22,SPY,2025-10-22,505.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,192,
SPY,2025-10-22,SPY,2025-10-22,510.000,C,0.0000,0.0000,0.0000,0.0000,0,8,156.5700,1,159.0300,667.6600,667.6700,10,156.2400,10,159.7600,667.8100,667.8200,0.0000,0,
SPY,2025-10-22,SPY,2025-10-22,510.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,148,
SPY,2025-10-22,SPY,2025-10-22,515.000,C,0.0000,0.0000,0.0000,0.0000,0,8,151.8200,6,154.0400,667.6600,667.6700,10,151.2400,10,154.7600,667.8100,667.8200,0.0000,0,
SPY,2025-10-22,SPY,2025-10-22,515.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,347,
SPY,2025-10-22,SPY,2025-10-22,520.000,C,0.0000,0.0000,0.0000,0.0000,0,9,146.3600,6,149.0400,667.6600,667.6700,10,146.2400,10,149.7600,667.8100,667.8200,0.0000,0,
SPY,2025-10-22,SPY,2025-10-22,520.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,15,
SPY,2025-10-22,SPY,2025-10-22,525.000,C,0.0000,0.0000,0.0000,0.0000,0,9,141.3600,1,144.0300,667.6600,667.6700,10,141.2400,10,144.7600,667.8100,667.8200,0.0000,0,
SPY,2025-10-22,SPY,2025-10-22,525.000,P,0.0100,0.0100,0.0100,0.0100,10,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0100,199,
SPY,2025-10-22,SPY,2025-10-22,530.000,C,139.1100,139.2400,139.1100,139.2400,2,9,136.7700,10,139.0400,667.6600,667.6700,10,136.2400,10,139.7600,667.8100,667.8200,139.1750,0,
SPY,2025-10-22,SPY,2025-10-22,530.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4071,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,294,
SPY,2025-10-22,SPY,2025-10-22,535.000,C,0.0000,0.0000,0.0000,0.0000,0,9,131.2500,10,134.0400,667.6600,667.6700,10,131.2400,10,134.7600,667.8100,667.8200,0.0000,0,
SPY,2025-10-22,SPY,2025-10-22,535.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,71,
SPY,2025-10-22,SPY,2025-10-22,540.000,C,125.6600,125.6600,125.6600,125.6600,2,8,126.8200,10,129.0400,667.6600,667.6700,10,126.2400,10,129.7600,667.8100,667.8200,125.6600,2,
SPY,2025-10-22,SPY,2025-10-22,540.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,624,
SPY,2025-10-22,SPY,2025-10-22,545.000,C,0.0000,0.0000,0.0000,0.0000,0,9,121.8200,13,124.0400,667.6600,667.6700,10,121.2400,10,124.7600,667.8100,667.8200,0.0000,0,
SPY,2025-10-22,SPY,2025-10-22,545.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,568,
SPY,2025-10-22,SPY,2025-10-22,550.000,C,0.0000,0.0000,0.0000,0.0000,0,8,116.8200,10,119.0400,667.6600,667.6700,10,116.2400,10,119.7600,667.8100,667.8200,0.0000,3,
SPY,2025-10-22,SPY,2025-10-22,550.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,742,
SPY,2025-10-22,SPY,2025-10-22,555.000,C,0.0000,0.0000,0.0000,0.0000,0,1,111.8300,1,114.0300,667.6600,667.6700,10,111.2400,10,114.7600,667.8100,667.8200,0.0000,0,
SPY,2025-10-22,SPY,2025-10-22,555.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,9,
SPY,2025-10-22,SPY,2025-10-22,560.000,C,0.0000,0.0000,0.0000,0.0000,0,9,106.7000,1,109.0300,667.6600,667.6700,10,106.2400,10,109.7600,667.8100,667.8200,0.0000,0,
SPY,2025-10-22,SPY,2025-10-22,560.000,P,0.0100,0.0100,0.0100,0.0100,3,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0100,396,
SPY,2025-10-22,SPY,2025-10-22,565.000,C,103.9200,103.9200,103.9200,103.9200,1,8,101.8200,12,104.0400,667.6600,667.6700,10,101.2400,10,104.7600,667.8100,667.8200,103.9200,1,
SPY,2025-10-22,SPY,2025-10-22,565.000,P,0.0100,0.0100,0.0100,0.0100,3,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0100,915,
SPY,2025-10-22,SPY,2025-10-22,570.000,C,0.0000,0.0000,0.0000,0.0000,0,8,96.3400,10,99.0400,667.6600,667.6700,10,96.2400,10,99.7600,667.8100,667.8200,0.0000,0,
SPY,2025-10-22,SPY,2025-10-22,570.000,P,0.0100,0.0100,0.0100,0.0100,5,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0100,648,
SPY,2025-10-22,SPY,2025-10-22,575.000,C,0.0000,0.0000,0.0000,0.0000,0,9,91.5600,10,94.0400,667.6600,667.6700,10,91.2400,10,94.7600,667.8100,667.8200,0.0000,1,
SPY,2025-10-22,SPY,2025-10-22,575.000,P,0.0100,0.0100,0.0100,0.0100,15,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0100,276,
SPY,2025-10-22,SPY,2025-10-22,580.000,C,88.3500,89.5400,84.3900,84.5700,1047,8,86.8000,1,89.0300,667.6600,667.6700,10,86.2400,10,89.7600,667.8100,667.8200,84.5199,0,
SPY,2025-10-22,SPY,2025-10-22,580.000,P,0.0100,0.0100,0.0100,0.0100,4,0,0.0000,4071,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0100,666,
SPY,2025-10-22,SPY,2025-10-22,585.000,C,86.5100,86.5100,79.7600,79.7600,91,8,81.8000,1,84.0300,667.6600,667.6700,10,81.2400,10,84.7600,667.8100,667.8200,80.7875,4,
SPY,2025-10-22,SPY,2025-10-22,585.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,4070,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0100,743,
SPY,2025-10-22,SPY,2025-10-22,590.000,C,74.4400,74.7600,74.4400,74.7600,11,8,76.8200,10,79.0400,667.6600,667.6700,10,76.2400,10,79.7600,667.8100,667.8200,74.4691,1,
SPY,2025-10-22,SPY,2025-10-22,590.000,P,0.0100,0.0100,0.0100,0.0100,3,0,0.0000,4047,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0100,1001,
SPY,2025-10-22,SPY,2025-10-22,595.000,C,74.1100,74.7500,69.7600,72.6900,32,10,72.6100,10,72.7300,667.6600,667.6700,10,71.2400,10,74.7600,667.8100,667.8200,71.4688,1,
SPY,2025-10-22,SPY,2025-10-22,595.000,P,0.0100,0.0100,0.0100,0.0100,2,0,0.0000,3999,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0100,1463,
SPY,2025-10-22,SPY,2025-10-22,600.000,C,71.3700,71.3700,64.7400,68.2500,382,10,67.6100,16,67.7100,667.6600,667.6700,10,66.2400,10,69.7600,667.8100,667.8200,65.7878,20,
SPY,2025-10-22,SPY,2025-10-22,600.000,P,0.0100,0.0100,0.0100,0.0100,5,0,0.0000,3945,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0100,2396,
SPY,2025-10-22,SPY,2025-10-22,601.000,C,68.0700,68.0700,63.7400,66.5200,46,16,66.5900,30,66.7600,667.6600,667.6700,10,65.2400,10,68.7600,667.8100,667.8200,65.2030,0,
SPY,2025-10-22,SPY,2025-10-22,601.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,3933,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,875,
SPY,2025-10-22,SPY,2025-10-22,602.000,C,67.1200,67.1200,62.9500,65.5200,7,16,65.5900,32,66.3100,667.6600,667.6700,10,64.2400,10,67.7600,667.8100,667.8200,65.5229,0,
SPY,2025-10-22,SPY,2025-10-22,602.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,3928,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,371,
SPY,2025-10-22,SPY,2025-10-22,603.000,C,68.0400,68.0400,61.7600,63.3400,27,10,64.6000,32,65.2900,667.6600,667.6700,10,63.2400,10,66.7600,667.8100,667.8200,63.2293,0,
SPY,2025-10-22,SPY,2025-10-22,603.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,3915,0.0100,667.6600,667.6700,0,0.0000,178,0.0100,667.8100,667.8200,0.0000,280,
