underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2025-06-02,SPY,2025-06-02,300.000,C,289.5200,289.5200,289.5200,289.5200,5,7,291.0400,8,292.7100,591.9500,591.9600,30,291.9700,30,294.0800,592.6200,592.6300,289.5200,1,
SPY,2025-06-02,SPY,2025-06-02,300.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4276,0.0100,591.9500,591.9600,0,0.0000,3765,0.0100,592.6200,592.6300,0.0000,9,
SPY,2025-06-02,SPY,2025-06-02,305.000,C,0.0000,0.0000,0.0000,0.0000,0,30,286.1300,30,287.6500,591.9500,591.9600,30,286.9700,30,289.0700,592.6200,592.6300,0.0000,0,
SPY,2025-06-02,SPY,2025-06-02,305.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,159,0.0100,591.9500,591.9600,0,0.0000,226,0.0100,592.6200,592.6300,0.0000,0,
SPY,2025-06-02,SPY,2025-06-02,310.000,C,0.0000,0.0000,0.0000,0.0000,0,3,281.0000,8,282.7000,591.9500,591.9600,30,281.9700,30,284.0800,592.6200,592.6300,0.0000,0,
SPY,2025-06-02,SPY,2025-06-02,310.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,159,0.0100,591.9500,591.9600,0,0.0000,226,0.0100,592.6200,592.6300,0.0000,0,
SPY,2025-06-02,SPY,2025-06-02,315.000,C,0.0000,0.0000,0.0000,0.0000,0,30,276.1100,30,277.6700,591.9500,591.9600,30,276.9700,30,279.0800,592.6200,592.6300,0.0000,0,
SPY,2025-06-02,SPY,2025-06-02,315.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,159,0.0100,591.9500,591.9600,0,0.0000,226,0.0100,592.6200,592.6300,0.0100,0,
SPY,2025-06-02,SPY,2025-06-02,320.000,C,0.0000,0.0000,0.0000,0.0000,0,3,271.1400,3,272.6600,591.9500,591.9600,30,271.9700,30,274.0800,592.6200,592.6300,0.0000,0,
SPY,2025-06-02,SPY,2025-06-02,320.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,159,0.0100,591.9500,591.9600,0,0.0000,226,0.0100,592.6200,592.6300,0.0000,0,
SPY,2025-06-02,SPY,2025-06-02,325.000,C,0.0000,0.0000,0.0000,0.0000,0,30,266.1100,30,267.6500,591.9500,591.9600,30,266.9700,30,269.0700,592.6200,592.6300,0.0000,0,
SPY,2025-06-02,SPY,2025-06-02,325.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,159,0.0100,591.9500,591.9600,0,0.0000,226,0.0100,592.6200,592.6300,0.0000,0,
SPY,2025-06-02,SPY,2025-06-02,330.000,C,0.0000,0.0000,0.0000,0.0000,0,3,261.0800,3,262.6600,591.9500,591.9600,30,261.9700,30,264.0800,592.6200,592.6300,0.0000,0,
SPY,2025-06-02,SPY,2025-06-02,330.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,159,0.0100,591.9500,591.9600,0,0.0000,226,0.0100,592.6200,592.6300,0.0000,0,
SPY,2025-06-02,SPY,2025-06-02,335.000,C,0.0000,0.0000,0.0000,0.0000,0,3,256.1100,3,257.6500,591.9500,591.9600,30,256.9700,30,259.0800,592.6200,592.6300,0.0000,0,
