underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2025-11-21,SPY,2025-11-21,370.000,C,285.0300,292.3700,283.4700,290.7100,41,11,289.9100,11,290.0500,660.0000,660.0100,6,288.1500,6,290.9300,659.0600,659.0800,286.5771,960,
SPY,2025-11-21,SPY,2025-11-21,370.000,P,0.0100,0.0100,0.0100,0.0100,5,0,0.0000,1378,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0100,6440,
SPY,2025-11-21,SPY,2025-11-21,375.000,C,277.8700,283.3500,277.8700,283.3500,102,21,284.7900,11,285.0500,660.0000,660.0100,22,283.1500,6,285.9300,659.0600,659.0800,278.7935,497,
SPY,2025-11-21,SPY,2025-11-21,375.000,P,0.0100,0.0100,0.0100,0.0100,17,0,0.0000,1374,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0100,2826,
SPY,2025-11-21,SPY,2025-11-21,380.000,C,274.6200,278.1700,273.1900,278.1700,4,21,279.8000,11,280.0500,660.0000,660.0100,6,278.1500,6,280.9300,659.0600,659.0800,275.7325,1190,
SPY,2025-11-21,SPY,2025-11-21,380.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1358,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,1285,
SPY,2025-11-21,SPY,2025-11-21,385.000,C,267.6900,278.9400,267.5200,278.9400,40,11,274.9100,11,275.0500,660.0000,660.0100,8,273.1500,6,275.9300,659.0600,659.0800,270.4900,1721,
SPY,2025-11-21,SPY,2025-11-21,385.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1354,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,6706,
SPY,2025-11-21,SPY,2025-11-21,390.000,C,264.9500,274.0000,264.9500,270.3200,27,11,269.9100,11,270.0500,660.0000,660.0100,21,268.1500,6,270.9300,659.0600,659.0800,271.8304,569,
SPY,2025-11-21,SPY,2025-11-21,390.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1352,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,2067,
SPY,2025-11-21,SPY,2025-11-21,395.000,C,260.0300,260.0300,260.0300,260.0300,5,11,264.9100,11,265.0500,660.0000,660.0100,10,263.1500,6,265.9300,659.0600,659.0800,260.0300,702,
SPY,2025-11-21,SPY,2025-11-21,395.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1349,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,2733,
SPY,2025-11-21,SPY,2025-11-21,400.000,C,255.0300,262.0100,253.0500,262.0100,29,11,259.9100,11,260.0500,660.0000,660.0100,2,258.1600,6,260.9300,659.0600,659.0800,256.3700,650,
SPY,2025-11-21,SPY,2025-11-21,400.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,1359,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0100,4417,
SPY,2025-11-21,SPY,2025-11-21,405.000,C,247.6900,256.7500,247.6900,256.7500,2,11,254.9100,11,255.0500,660.0000,660.0100,21,253.1500,6,255.9300,659.0600,659.0800,252.2200,490,
SPY,2025-11-21,SPY,2025-11-21,405.000,P,0.0100,0.0100,0.0100,0.0100,5,0,0.0000,1355,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0100,1540,
SPY,2025-11-21,SPY,2025-11-21,410.000,C,243.6400,251.6400,243.0500,250.6500,57,11,249.9100,11,250.0500,660.0000,660.0100,2,248.1500,6,250.9300,659.0600,659.0800,245.7337,1067,
SPY,2025-11-21,SPY,2025-11-21,410.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1336,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,2389,
SPY,2025-11-21,SPY,2025-11-21,415.000,C,242.6700,247.3100,242.6700,247.3100,16,11,244.8300,11,245.0500,660.0000,660.0100,8,243.1500,6,245.9300,659.0600,659.0800,242.9600,1416,
SPY,2025-11-21,SPY,2025-11-21,415.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1335,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,8314,
SPY,2025-11-21,SPY,2025-11-21,420.000,C,232.8300,240.6500,232.8300,240.6500,19,11,239.9100,11,240.0500,660.0000,660.0100,2,238.1500,6,240.9300,659.0600,659.0800,235.2042,603,
SPY,2025-11-21,SPY,2025-11-21,420.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1329,0.0100,660.0000,660.0100,0,0.0000,209,0.0100,659.0600,659.0800,0.0000,13208,
SPY,2025-11-21,SPY,2025-11-21,425.000,C,227.3900,238.9400,227.3900,235.5000,31,11,234.9100,11,235.0500,660.0000,660.0100,22,233.1500,6,235.9300,659.0600,659.0800,236.8581,690,
SPY,2025-11-21,SPY,2025-11-21,425.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1324,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,3623,
SPY,2025-11-21,SPY,2025-11-21,430.000,C,224.2300,231.8000,224.2300,230.5300,21,11,229.9100,11,230.0500,660.0000,660.0100,21,228.1500,6,230.9300,659.0600,659.0800,230.8371,679,
SPY,2025-11-21,SPY,2025-11-21,430.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1321,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,8532,
SPY,2025-11-21,SPY,2025-11-21,435.000,C,0.0000,0.0000,0.0000,0.0000,0,11,224.8000,11,225.0500,660.0000,660.0100,21,223.1500,6,225.9300,659.0600,659.0800,0.0000,237,
SPY,2025-11-21,SPY,2025-11-21,435.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1290,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,4099,
SPY,2025-11-21,SPY,2025-11-21,440.000,C,215.0600,215.0600,214.0500,214.0500,13,11,219.9100,11,220.0500,660.0000,660.0100,8,218.1500,6,220.9300,659.0600,659.0800,214.1277,442,
SPY,2025-11-21,SPY,2025-11-21,440.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1290,0.0100,660.0000,660.0100,0,0.0000,188,0.0100,659.0600,659.0800,0.0000,8100,
SPY,2025-11-21,SPY,2025-11-21,445.000,C,0.0000,0.0000,0.0000,0.0000,0,11,214.8000,11,215.0500,660.0000,660.0100,8,213.1500,6,215.9300,659.0600,659.0800,0.0000,564,
SPY,2025-11-21,SPY,2025-11-21,445.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1281,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,2783,
SPY,2025-11-21,SPY,2025-11-21,450.000,C,207.6000,210.4300,207.6000,209.5100,10,11,209.9100,11,210.0500,660.0000,660.0100,8,208.1500,6,210.9300,659.0600,659.0800,209.2600,804,
SPY,2025-11-21,SPY,2025-11-21,450.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1275,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,108456,
SPY,2025-11-21,SPY,2025-11-21,455.000,C,199.2300,205.8600,199.2300,205.8600,4,11,204.9100,11,205.0500,660.0000,660.0100,8,203.1500,6,205.9300,659.0600,659.0800,202.5450,226,
SPY,2025-11-21,SPY,2025-11-21,455.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,1280,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0100,2862,
SPY,2025-11-21,SPY,2025-11-21,460.000,C,201.8300,201.8300,199.3200,199.3200,16,11,199.9100,11,200.0500,660.0000,660.0100,8,198.1500,6,200.9300,659.0600,659.0800,201.0081,528,
SPY,2025-11-21,SPY,2025-11-21,460.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1215,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,6153,
SPY,2025-11-21,SPY,2025-11-21,465.000,C,190.9000,196.5500,190.9000,195.5000,21,11,194.9100,11,195.0500,660.0000,660.0100,8,193.1500,6,195.9300,659.0600,659.0800,193.4352,329,
SPY,2025-11-21,SPY,2025-11-21,465.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1249,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,102237,
SPY,2025-11-21,SPY,2025-11-21,470.000,C,182.2100,191.4900,182.2100,190.6500,34,11,189.9100,11,190.0500,660.0000,660.0100,22,188.1500,6,190.9300,659.0600,659.0800,184.5176,451,
SPY,2025-11-21,SPY,2025-11-21,470.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1240,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,1403,
SPY,2025-11-21,SPY,2025-11-21,475.000,C,178.3700,185.5400,177.4200,185.5400,35,11,184.9100,11,185.0500,660.0000,660.0100,24,183.1500,6,185.9300,659.0600,659.0800,183.2786,237,
SPY,2025-11-21,SPY,2025-11-21,475.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1230,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,5906,
SPY,2025-11-21,SPY,2025-11-21,480.000,C,172.5200,182.3900,172.5200,180.4800,43,11,179.9100,11,180.0500,660.0000,660.0100,13,178.1500,6,180.9300,659.0600,659.0800,179.7812,327,
SPY,2025-11-21,SPY,2025-11-21,480.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1220,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,3693,
SPY,2025-11-21,SPY,2025-11-21,485.000,C,170.2900,175.5500,168.4000,175.5500,32,11,174.9100,11,175.0500,660.0000,660.0100,22,173.1500,6,175.9300,659.0600,659.0800,173.0478,234,
SPY,2025-11-21,SPY,2025-11-21,485.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1206,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,1876,
SPY,2025-11-21,SPY,2025-11-21,490.000,C,164.8300,168.2900,161.6900,168.2900,44,11,169.9100,11,170.0500,660.0000,660.0100,8,168.1500,6,170.9300,659.0600,659.0800,164.1302,319,
SPY,2025-11-21,SPY,2025-11-21,490.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1194,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,1667,
SPY,2025-11-21,SPY,2025-11-21,495.000,C,159.6200,165.5400,158.3700,165.4800,25,23,164.8300,11,165.0500,660.0000,660.0100,22,163.1500,6,165.9300,659.0600,659.0800,162.5928,303,
SPY,2025-11-21,SPY,2025-11-21,495.000,P,0.0100,0.0100,0.0100,0.0100,12,0,0.0000,1196,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0100,5201,
SPY,2025-11-21,SPY,2025-11-21,500.000,C,155.9800,160.8100,153.2400,158.4600,43,26,159.8000,11,160.0500,660.0000,660.0100,10,158.1500,10,160.9300,659.0600,659.0800,158.5316,714,
SPY,2025-11-21,SPY,2025-11-21,500.000,P,0.0100,0.0100,0.0100,0.0100,72,0,0.0000,1181,0.0100,660.0000,660.0100,0,0.0000,232,0.0100,659.0600,659.0800,0.0100,224050,
SPY,2025-11-21,SPY,2025-11-21,505.000,C,154.8200,154.8200,154.8200,154.8200,11,11,154.9100,11,155.0500,660.0000,660.0100,8,153.1500,6,155.9300,659.0600,659.0800,154.8200,165,
SPY,2025-11-21,SPY,2025-11-21,505.000,P,0.0100,0.0100,0.0100,0.0100,5,0,0.0000,1166,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0100,5177,
SPY,2025-11-21,SPY,2025-11-21,510.000,C,145.4300,150.7400,142.3300,150.2800,9,11,149.9100,11,150.0500,660.0000,660.0100,16,148.1500,6,150.9300,659.0600,659.0800,145.8700,537,
SPY,2025-11-21,SPY,2025-11-21,510.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1137,0.0100,660.0000,660.0100,0,0.0000,182,0.0100,659.0600,659.0800,0.0000,6641,
SPY,2025-11-21,SPY,2025-11-21,515.000,C,146.0200,146.0200,146.0200,146.0200,13,11,144.9800,11,145.0500,660.0000,660.0100,8,143.1500,6,145.9300,659.0600,659.0800,146.0200,126,
