underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2025-07-23,SPY,2025-07-23,450.000,C,180.7200,181.5600,180.6100,181.5600,5,6,181.3200,6,184.7700,633.0000,633.0000,20,183.2600,2,186.0600,634.1500,634.1600,181.0120,1,
SPY,2025-07-23,SPY,2025-07-23,450.000,P,0.0100,0.0100,0.0100,0.0100,15,0,0.0000,4218,0.0100,633.0000,633.0000,0,0.0000,3750,0.0100,634.1500,634.1600,0.0100,1,
SPY,2025-07-23,SPY,2025-07-23,455.000,C,0.0000,0.0000,0.0000,0.0000,0,1,176.3300,6,179.6800,633.0000,633.0000,20,178.2600,20,181.0800,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,455.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,187,0.0100,633.0000,633.0000,0,0.0000,109,0.0100,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,460.000,C,0.0000,0.0000,0.0000,0.0000,0,6,171.3200,6,174.7000,633.0000,633.0000,20,173.2600,3,176.0700,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,460.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,187,0.0100,633.0000,633.0000,0,0.0000,109,0.0100,634.1500,634.1600,0.0000,91,
SPY,2025-07-23,SPY,2025-07-23,465.000,C,0.0000,0.0000,0.0000,0.0000,0,1,166.3400,1,169.7300,633.0000,633.0000,20,168.2600,1,171.0700,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,465.000,P,0.0100,0.0100,0.0100,0.0100,10,0,0.0000,187,0.0100,633.0000,633.0000,0,0.0000,109,0.0100,634.1500,634.1600,0.0100,77,
SPY,2025-07-23,SPY,2025-07-23,470.000,C,0.0000,0.0000,0.0000,0.0000,0,6,161.3200,6,164.7700,633.0000,633.0000,20,163.2600,2,166.0600,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,470.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,187,0.0100,633.0000,633.0000,0,0.0000,109,0.0100,634.1500,634.1600,0.0000,31,
SPY,2025-07-23,SPY,2025-07-23,475.000,C,0.0000,0.0000,0.0000,0.0000,0,6,156.3300,6,159.6900,633.0000,633.0000,20,158.2600,2,161.0700,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,475.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,187,0.0100,633.0000,633.0000,0,0.0000,109,0.0100,634.1500,634.1600,0.0000,201,
SPY,2025-07-23,SPY,2025-07-23,480.000,C,0.0000,0.0000,0.0000,0.0000,0,6,151.3200,6,154.7700,633.0000,633.0000,20,153.2600,2,156.0700,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,480.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,187,0.0100,633.0000,633.0000,0,0.0000,109,0.0100,634.1500,634.1600,0.0000,40,
SPY,2025-07-23,SPY,2025-07-23,485.000,C,0.0000,0.0000,0.0000,0.0000,0,6,146.4000,6,149.7700,633.0000,633.0000,20,148.2600,2,151.0700,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,485.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,187,0.0100,633.0000,633.0000,0,0.0000,109,0.0100,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,490.000,C,0.0000,0.0000,0.0000,0.0000,0,6,141.3200,6,144.6900,633.0000,633.0000,20,143.2600,3,146.0700,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,490.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,187,0.0100,633.0000,633.0000,0,0.0000,109,0.0100,634.1500,634.1600,0.0000,20,
SPY,2025-07-23,SPY,2025-07-23,495.000,C,0.0000,0.0000,0.0000,0.0000,0,6,136.3200,6,139.7700,633.0000,633.0000,20,138.2600,4,141.0600,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,495.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,187,0.0100,633.0000,633.0000,0,0.0000,109,0.0100,634.1500,634.1600,0.0000,93,
SPY,2025-07-23,SPY,2025-07-23,500.000,C,0.0000,0.0000,0.0000,0.0000,0,6,131.3200,6,134.7700,633.0000,633.0000,20,133.2600,2,136.0600,634.1500,634.1600,0.0000,1,
SPY,2025-07-23,SPY,2025-07-23,500.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,2968,0.0100,633.0000,633.0000,0,0.0000,2500,0.0100,634.1500,634.1600,0.0000,101,
SPY,2025-07-23,SPY,2025-07-23,505.000,C,0.0000,0.0000,0.0000,0.0000,0,6,126.3200,1,129.7400,633.0000,633.0000,20,128.2600,2,131.0600,634.1500,634.1600,0.0000,0,
SPY,2025-07-23,SPY,2025-07-23,505.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,187,0.0100,633.0000,633.0000,0,0.0000,109,0.0100,634.1500,634.1600,0.0000,266,
SPY,2025-07-23,SPY,2025-07-23,510.000,C,0.0000,0.0000,0.0000,0.0000,0,6,121.3200,6,124.7700,633.0000,633.0000,20,123.2600,2,126.0600,634.1500,634.1600,0.0000,0,
