underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2025-06-16,SPY,2025-06-16,400.000,C,200.4000,200.4000,200.1500,200.1500,2,2,201.0500,30,202.9500,602.2400,602.2500,8,201.7800,8,203.8300,602.7000,602.7100,200.2750,0,
SPY,2025-06-16,SPY,2025-06-16,400.000,P,0.0100,0.0100,0.0100,0.0100,16,0,0.0000,262,0.0100,602.2400,602.2500,0,0.0000,236,0.0100,602.7000,602.7100,0.0100,10,
SPY,2025-06-16,SPY,2025-06-16,405.000,C,0.0000,0.0000,0.0000,0.0000,0,25,196.1900,30,197.9300,602.2400,602.2500,8,196.7800,30,198.8600,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,405.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,262,0.0100,602.2400,602.2500,0,0.0000,236,0.0100,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,410.000,C,0.0000,0.0000,0.0000,0.0000,0,25,191.1900,25,192.8800,602.2400,602.2500,8,191.7800,8,194.1000,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,410.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,262,0.0100,602.2400,602.2500,0,0.0000,236,0.0100,602.7000,602.7100,0.0000,40,
SPY,2025-06-16,SPY,2025-06-16,415.000,C,0.0000,0.0000,0.0000,0.0000,0,25,186.1300,25,187.9700,602.2400,602.2500,8,186.7800,8,189.1000,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,415.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,262,0.0100,602.2400,602.2500,0,0.0000,236,0.0100,602.7000,602.7100,0.0000,100,
SPY,2025-06-16,SPY,2025-06-16,420.000,C,0.0000,0.0000,0.0000,0.0000,0,20,181.1000,30,183.0100,602.2400,602.2500,8,181.7800,8,183.8300,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,420.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,262,0.0100,602.2400,602.2500,0,0.0000,236,0.0100,602.7000,602.7100,0.0000,7,
SPY,2025-06-16,SPY,2025-06-16,425.000,C,0.0000,0.0000,0.0000,0.0000,0,30,176.1300,30,177.9600,602.2400,602.2500,8,176.7800,30,178.8600,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,425.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,262,0.0100,602.2400,602.2500,0,0.0000,236,0.0100,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,430.000,C,0.0000,0.0000,0.0000,0.0000,0,30,171.1200,30,172.8700,602.2400,602.2500,8,171.7800,8,173.8300,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,430.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,262,0.0100,602.2400,602.2500,0,0.0000,236,0.0100,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,435.000,C,0.0000,0.0000,0.0000,0.0000,0,20,166.1100,20,167.9900,602.2400,602.2500,8,166.7800,30,169.1700,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,435.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,262,0.0100,602.2400,602.2500,0,0.0000,236,0.0100,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,440.000,C,0.0000,0.0000,0.0000,0.0000,0,25,161.1200,25,163.0000,602.2400,602.2500,8,161.7800,8,163.8300,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,440.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,262,0.0100,602.2400,602.2500,0,0.0000,236,0.0100,602.7000,602.7100,0.0000,20,
SPY,2025-06-16,SPY,2025-06-16,445.000,C,0.0000,0.0000,0.0000,0.0000,0,25,156.1100,25,158.0100,602.2400,602.2500,8,156.7800,30,158.8600,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,445.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,262,0.0100,602.2400,602.2500,0,0.0000,236,0.0100,602.7000,602.7100,0.0000,140,
SPY,2025-06-16,SPY,2025-06-16,450.000,C,0.0000,0.0000,0.0000,0.0000,0,30,151.2100,25,152.9500,602.2400,602.2500,8,151.7800,25,154.1700,602.7000,602.7100,0.0000,0,
SPY,2025-06-16,SPY,2025-06-16,450.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,262,0.0100,602.2400,602.2500,0,0.0000,236,0.0100,602.7000,602.7100,0.0000,210,
SPY,2025-06-16,SPY,2025-06-16,455.000,C,0.0000,0.0000,0.0000,0.0000,0,30,146.1300,30,148.1700,602.2400,602.2500,8,146.7800,30,148.8600,602.7000,602.7100,0.0000,0,
